,Date,Open,High,Low,Close
0,02/08/2013,1509.39,1518.31,1509.39,1517.93
1,02/11/2013,1517.93,1518.31,1513.61,1517.01
2,02/12/2013,1517.01,1522.29,1515.61,1519.43
3,02/13/2013,1519.43,1524.69,1515.93,1520.33
4,02/14/2013,1520.33,1523.14,1514.02,1521.38
5,02/15/2013,1521.38,1524.24,1514.14,1519.79
6,02/19/2013,1519.79,1530.94,1519.79,1530.94
7,02/20/2013,1530.94,1530.94,1511.41,1511.95
8,02/21/2013,1511.95,1511.95,1497.29,1502.42
9,02/22/2013,1502.42,1515.64,1502.42,1515.60
10,02/25/2013,1515.60,1525.84,1487.85,1487.85
11,02/26/2013,1487.85,1498.99,1485.01,1496.94
12,02/27/2013,1496.94,1520.08,1494.88,1515.99
13,02/28/2013,1515.99,1525.34,1514.46,1514.68
14,03/01/2013,1514.68,1519.99,1501.48,1518.20
15,03/04/2013,1518.20,1525.27,1512.29,1525.20
16,03/05/2013,1525.20,1543.47,1525.20,1539.79
17,03/06/2013,1539.79,1545.25,1538.11,1541.46
18,03/07/2013,1541.46,1545.78,1541.46,1544.26
19,03/08/2013,1544.26,1552.48,1542.94,1551.18
20,03/11/2013,1551.15,1556.27,1547.36,1556.22
21,03/12/2013,1556.22,1556.77,1548.24,1552.48
22,03/13/2013,1552.48,1556.39,1548.25,1554.52
23,03/14/2013,1554.52,1563.32,1554.52,1563.23
24,03/15/2013,1563.21,1563.62,1555.74,1560.70
25,03/18/2013,1560.70,1560.70,1545.13,1552.10
26,03/19/2013,1552.10,1557.25,1538.57,1548.34
27,03/20/2013,1548.34,1561.56,1548.34,1558.71
28,03/21/2013,1558.71,1558.71,1543.55,1545.80
29,03/22/2013,1545.90,1557.74,1545.90,1556.89
30,03/25/2013,1556.89,1564.91,1546.22,1551.69
31,03/26/2013,1551.69,1563.95,1551.69,1563.77
32,03/27/2013,1563.75,1564.07,1551.90,1562.85
33,03/28/2013,1562.86,1570.28,1561.08,1569.19
34,04/01/2013,1569.18,1570.57,1558.47,1562.17
35,04/02/2013,1562.17,1573.66,1562.17,1570.25
36,04/03/2013,1570.25,1571.47,1549.80,1553.69
37,04/04/2013,1553.69,1562.60,1552.52,1559.98
38,04/05/2013,1559.98,1559.98,1539.50,1553.28
39,04/08/2013,1553.26,1563.07,1548.63,1563.07
40,04/09/2013,1563.11,1573.89,1560.92,1568.61
41,04/10/2013,1568.61,1589.07,1568.61,1587.73
42,04/11/2013,1587.73,1597.35,1586.17,1593.37
43,04/12/2013,1593.30,1593.30,1579.97,1588.85
44,04/15/2013,1588.84,1588.84,1552.28,1552.36
45,04/16/2013,1552.36,1575.35,1552.36,1574.57
46,04/17/2013,1574.57,1574.57,1543.69,1552.01
47,04/18/2013,1552.03,1554.38,1536.03,1541.61
48,04/19/2013,1541.61,1555.89,1539.40,1555.25
49,04/22/2013,1555.25,1565.55,1548.19,1562.50
50,04/23/2013,1562.50,1579.58,1562.50,1578.78
51,04/24/2013,1578.78,1583.00,1575.80,1578.79
52,04/25/2013,1578.93,1592.64,1578.93,1585.16
53,04/26/2013,1585.16,1585.78,1577.56,1582.24
54,04/29/2013,1582.34,1596.65,1582.34,1593.61
55,04/30/2013,1593.58,1597.57,1586.50,1597.57
56,05/01/2013,1597.55,1597.55,1581.28,1582.70
57,05/02/2013,1582.77,1598.60,1582.77,1597.59
58,05/03/2013,1597.60,1618.46,1597.60,1614.42
59,05/06/2013,1614.40,1619.77,1614.21,1617.50
60,05/07/2013,1617.55,1626.03,1616.64,1625.96
61,05/08/2013,1625.95,1632.78,1622.70,1632.69
62,05/09/2013,1632.69,1635.01,1623.09,1626.67
63,05/10/2013,1626.69,1633.70,1623.71,1633.70
64,05/13/2013,1632.10,1636.00,1626.74,1633.77
65,05/14/2013,1633.75,1651.10,1633.75,1650.34
66,05/15/2013,1649.13,1661.49,1646.68,1658.78
67,05/16/2013,1658.07,1660.51,1648.60,1650.47
68,05/17/2013,1652.45,1667.47,1652.45,1667.47
69,05/20/2013,1665.71,1672.84,1663.52,1666.29
70,05/21/2013,1666.20,1674.93,1662.67,1669.16
71,05/22/2013,1669.39,1687.18,1648.86,1655.35
72,05/23/2013,1651.62,1655.50,1635.53,1650.51
73,05/24/2013,1646.67,1649.78,1636.88,1649.60
74,05/28/2013,1652.63,1674.21,1652.63,1660.06
75,05/29/2013,1656.57,1656.57,1640.05,1648.36
76,05/30/2013,1649.14,1661.91,1648.61,1654.41
77,05/31/2013,1652.13,1658.99,1630.74,1630.74
78,06/03/2013,1631.71,1640.42,1622.72,1640.42
79,06/04/2013,1640.73,1646.53,1623.62,1631.38
80,06/05/2013,1629.05,1629.31,1607.09,1608.90
81,06/06/2013,1609.29,1622.56,1598.23,1622.56
82,06/07/2013,1625.27,1644.40,1625.27,1643.38
83,06/10/2013,1644.67,1648.69,1639.26,1642.81
84,06/11/2013,1638.64,1640.13,1622.92,1626.13
85,06/12/2013,1629.94,1637.71,1610.92,1612.52
86,06/13/2013,1612.15,1639.25,1608.07,1636.36
87,06/14/2013,1635.52,1640.80,1623.96,1626.73
88,06/17/2013,1630.64,1646.50,1630.34,1639.04
89,06/18/2013,1639.77,1654.19,1639.77,1651.81
90,06/19/2013,1651.83,1652.45,1628.91,1628.93
91,06/20/2013,1624.62,1624.62,1584.32,1588.19
92,06/21/2013,1588.62,1599.19,1577.70,1592.43
93,06/24/2013,1588.77,1588.77,1560.33,1573.09
94,06/25/2013,1577.52,1593.79,1577.09,1588.03
95,06/26/2013,1592.27,1606.83,1592.27,1603.26
96,06/27/2013,1606.44,1620.07,1606.44,1613.20
97,06/28/2013,1611.12,1615.94,1601.06,1606.28
98,07/01/2013,1609.78,1626.61,1609.78,1614.96
99,07/02/2013,1614.29,1624.26,1606.77,1614.08
100,07/03/2013,1611.48,1618.97,1604.57,1615.41
101,07/05/2013,1618.65,1632.07,1614.71,1631.89
102,07/08/2013,1634.20,1644.68,1634.20,1640.46
103,07/09/2013,1642.89,1654.18,1642.89,1652.32
104,07/10/2013,1651.56,1657.92,1647.66,1652.62
105,07/11/2013,1657.41,1676.63,1657.41,1675.02
106,07/12/2013,1675.26,1680.19,1672.33,1680.19
107,07/15/2013,1679.59,1684.51,1677.89,1682.50
108,07/16/2013,1682.70,1683.73,1671.84,1676.26
109,07/17/2013,1677.91,1684.75,1677.91,1680.91
110,07/18/2013,1681.05,1693.12,1681.05,1689.37
111,07/19/2013,1686.15,1692.09,1684.08,1692.09
112,07/22/2013,1694.41,1697.61,1690.67,1695.53
113,07/23/2013,1696.63,1698.78,1691.13,1692.39
114,07/24/2013,1696.06,1698.38,1682.57,1685.94
115,07/25/2013,1685.21,1690.94,1680.07,1690.25
116,07/26/2013,1687.31,1691.85,1676.03,1691.65
117,07/29/2013,1690.32,1690.92,1681.86,1685.33
118,07/30/2013,1687.92,1693.19,1682.42,1685.96
119,07/31/2013,1687.76,1698.43,1684.94,1685.73
120,08/01/2013,1689.42,1707.85,1689.42,1706.87
121,08/02/2013,1706.10,1709.67,1700.68,1709.67
122,08/05/2013,1708.01,1709.24,1703.55,1707.14
123,08/06/2013,1705.79,1705.79,1693.29,1697.37
124,08/07/2013,1695.30,1695.30,1684.91,1690.91
125,08/08/2013,1693.35,1700.18,1688.38,1697.48
126,08/09/2013,1696.10,1699.42,1686.02,1691.42
127,08/12/2013,1688.37,1691.49,1683.35,1689.47
128,08/13/2013,1690.65,1696.81,1682.62,1694.16
129,08/14/2013,1693.88,1695.52,1684.83,1685.39
130,08/15/2013,1679.61,1679.61,1658.59,1661.32
131,08/16/2013,1661.22,1663.60,1652.61,1655.83
132,08/19/2013,1655.25,1659.18,1645.84,1646.06
133,08/20/2013,1646.81,1658.92,1646.08,1652.35
134,08/21/2013,1650.66,1656.99,1639.43,1642.80
135,08/22/2013,1645.03,1659.55,1645.03,1656.96
136,08/23/2013,1659.92,1664.85,1654.81,1663.50
137,08/26/2013,1664.29,1669.51,1656.02,1656.78
138,08/27/2013,1652.54,1652.54,1629.05,1630.48
139,08/28/2013,1630.25,1641.18,1627.47,1634.96
140,08/29/2013,1633.50,1646.41,1630.88,1638.17
141,08/30/2013,1638.89,1640.08,1628.05,1632.97
142,09/03/2013,1635.95,1651.35,1633.41,1639.77
143,09/04/2013,1640.72,1655.72,1637.41,1653.08
144,09/05/2013,1653.28,1659.17,1653.07,1655.08
145,09/06/2013,1657.44,1664.83,1640.62,1655.17
146,09/09/2013,1656.85,1672.40,1656.85,1671.71
147,09/10/2013,1674.32,1684.09,1674.32,1683.99
148,09/11/2013,1681.04,1689.13,1678.70,1689.13
149,09/12/2013,1689.21,1689.97,1681.96,1683.42
150,09/13/2013,1685.04,1688.73,1682.22,1687.99
151,09/16/2013,1691.70,1704.95,1691.70,1697.60
152,09/17/2013,1697.73,1705.52,1697.73,1704.76
153,09/18/2013,1705.74,1729.44,1700.35,1725.52
154,09/19/2013,1727.34,1729.86,1720.20,1722.34
155,09/20/2013,1722.44,1725.23,1708.89,1709.91
156,09/23/2013,1711.44,1711.44,1697.10,1701.84
157,09/24/2013,1702.60,1707.63,1694.90,1697.42
158,09/25/2013,1698.02,1701.71,1691.88,1692.77
159,09/26/2013,1694.05,1703.85,1693.11,1698.67
160,09/27/2013,1695.52,1695.52,1687.11,1691.75
161,09/30/2013,1687.26,1687.26,1674.99,1681.55
162,10/01/2013,1682.41,1696.55,1682.07,1695.00
163,10/02/2013,1691.90,1693.87,1680.34,1693.87
164,10/03/2013,1692.35,1692.35,1670.36,1678.66
165,10/04/2013,1678.79,1691.94,1677.33,1690.50
166,10/07/2013,1687.15,1687.15,1674.70,1676.12
