mean_return,MHK,WY,GPC,NUE,LH,FFIV,AMG,APA,GD,COST,DOV,KMX,NVDA,OXY,CHTR,MAC,SNI,PEG,MDT,FL,WU,ARE,ES,PXD,UNH,SEE,HSIC,MCO,HCA,LMT,DHI,AVGO,M,CB,DISCA,AXP,D,DLTR,CRM,CTXS,NEM,SRE,HBI,BXP,ETFC,CTAS,SBAC,TGT,TSN,ESS,ADP,PGR,LNT,MAS,EA,WYNN,MU,BEN,HIG,AAP,HCN,XRAY,AMAT,VMC,SBUX,PCAR,OMC,WEC,MET,RRC,CVX,EQT,MCHP,TSS,TPR,MPC,LB,MAR,ZTS,GWW,ADI,AEE,PDCO,DISH,PPG,FTI,RL,TROW,YUM,CBS,EMN,CMG,CAH,V,PAYX,AMP,TXT,PG,MKC,XEC
5.849337026298067482e-02,1.587725709367837190e+00,5.529334411014329431e-01,2.997586530666256910e-01,3.630065039240638058e-01,4.113628082370935912e-01,3.869696889222404845e-01,3.552543138369733677e-01,5.448732833502621942e-01,3.668053620382942803e-01,5.086094890541872360e-01,5.501610503245810690e-01,3.113950503071700182e-01,4.161647403892151376e-01,4.509804567816595444e-01,2.987315763604417862e-01,3.202654037532855491e-01,5.278039372698625220e-01,5.728411988819184231e-01,1.822127001664924362e-01,3.948984108538998172e-01,3.676234265651227018e-01,6.634258036380313861e-01,4.624960132590464901e-01,3.805114315856333307e-01,4.085114258526152398e-01,2.895333177635362465e-01,6.285594310046701549e-01,4.571975587461190593e-01,2.542784596543013476e-01,3.926484700525080251e-01,4.538186794703857885e-01,4.694390288843304226e-01,3.594285097600455336e-01,3.080235825632750557e-01,2.494005937904402170e-01,4.142709489646941301e-01,2.800719163324581484e-01,4.659817989407182282e-01,3.014131401685807288e-01,5.090473547167361223e-01,3.537894241721984412e-01,3.289147011822391997e-01,5.906738219686964442e-01,3.785608146393408813e-01,3.965282808403127746e-01,3.796496283546801354e-01,4.477142907021918194e-01,5.574908404699728814e-01,4.025355950909711433e-01,4.816949324634823837e-01,2.870486289337413899e-01,3.074244886308836189e-01,4.384508277996743142e-01,3.378199299644424336e-01,3.006488663430509356e-01,3.409804623508041477e-01,5.546834052149519634e-01,1.329063334096262539e+00,4.163554134703851828e-01,4.657410430484726360e-01,4.335998252413021947e-01,5.727331957020909137e-01,5.340777685358253368e-01,4.614540874873893639e-01,3.887943108435241157e-01,4.906864241830348194e-01,4.671480419052760347e-01,2.006596316183853479e-01,3.776561769587425399e-01,3.195449648131397646e-01,3.695055297905724956e-01,4.926059289251671913e-01,2.210226143496411833e-01,4.372024536645496839e-01,6.146861547783608604e-01,2.436379682924298684e-01,4.316990231278292622e-01,2.934742671487800547e-01,4.742809738752792881e-01,5.402323659237255882e-01,4.608116170690562119e-01,4.005810213851970225e-01,5.549512594782942676e-01,3.565410582988486898e-01,7.621762464346916177e-01,5.862047311793791016e-01,5.186851324608394709e-01,4.366248419738109621e-01,4.444465521360146387e-01,4.447917981150533717e-01,3.617664848064005012e-01,6.380918880025794326e-01,6.656426218471342970e-01,4.948209620613575610e-01,3.960801045180736835e-01,3.834559062520239148e-01,3.779203513154371641e-01,5.835809180297222287e-01,5.144092497685880394e-01,3.979772645282084742e-01
5.276549609396452567e-02,5.529334411014329431e-01,2.693209359565443162e+00,5.777368508082647569e-01,7.133069105600277071e-01,7.506177144289344350e-01,6.288225137678115084e-01,6.451343832291656089e-01,8.651604183549839178e-01,6.021469372879088011e-01,4.515137657515080338e-01,6.966052148735293326e-01,3.373990304128267059e-01,7.216440544704280091e-01,7.260734452968672370e-01,4.270195290586252801e-01,5.184577528495160070e-01,9.696164123081505437e-01,9.909377938473455938e-01,1.448250016385734529e-01,6.128742590677197510e-01,3.191119330457821701e-01,8.345510173122318021e-01,7.852587287912864422e-01,6.765288686007282504e-01,6.840323927421576578e-01,3.505532796292160636e-01,1.122145877706631989e+00,8.479644205247089950e-01,3.307814664077017297e-01,6.903257913829622394e-01,7.756462408181586943e-01,6.852779530038711764e-01,6.641658117548997486e-01,4.600335663300052502e-01,2.266390380677011651e-01,8.054427577205008904e-01,8.836735123496747280e-01,6.478667956969754727e-01,6.394208857991182660e-01,6.250158375455738824e-01,5.778005935275322136e-01,3.821775997036368500e-01,1.006113910165975289e+00,7.277609563075195798e-01,8.731343774740880637e-01,5.945880412323475417e-01,8.001414372791307850e-01,9.533479717075403759e-01,7.743390087060653126e-01,6.829074573649281943e-01,8.450500651331472879e-01,4.049361807309440620e-01,6.685231895480109321e-01,4.595270703303258042e-01,5.284206113450691245e-01,5.264774347584938452e-01,9.784037237495956107e-01,6.414242161950544086e-01,5.869379855613695574e-01,7.680053584969446234e-01,5.276191646249299705e-01,9.044761501868491260e-01,8.909430750093324525e-01,8.051912688728368739e-01,9.261194658171528760e-01,9.152545612357230187e-01,6.517720451028351514e-01,3.201732667585847625e-01,4.763770609919729671e-01,4.654950592946149879e-01,5.296759699015058942e-01,6.640231916763386089e-01,3.167347501869053339e-01,8.964782942237464747e-01,9.201491869937519219e-01,2.180327111213077873e-01,8.410666422793648955e-01,2.999841485883008030e-01,4.667923054248996340e-01,7.131413269638177121e-01,7.895904544174069395e-01,6.290166108532742051e-01,7.716788363754648605e-01,5.615289541210313207e-01,1.099169690246021736e+00,1.042649080789785021e+00,8.799741925662956099e-01,7.380090041271806234e-01,5.312437753072269953e-01,6.990968280246003808e-01,1.021424189690833595e+00,1.130798561542273317e+00,1.173482589325171244e+00,8.903168044193610076e-01,5.614336472385147436e-01,3.171250127060332713e-01,5.024429202263486216e-01,8.927607150829461879e-01,1.104721866095514704e+00,6.364483517544490265e-01
3.910258660554748189e-02,2.997586530666256910e-01,5.777368508082647569e-01,1.514465220843343563e+00,5.829902911515907338e-01,4.042640401092285618e-01,3.638698242751460254e-01,4.188129228396728632e-01,6.470251092460761466e-01,4.339463318338782627e-01,3.533425090188067053e-01,4.178110193585881649e-01,3.296395756610447370e-01,4.856642455358251009e-01,5.546493137695125419e-01,3.677468127275790311e-01,7.066766300862944439e-01,7.787875060359320534e-01,5.165411784267852635e-01,1.865178856850931988e-01,4.272149184197350236e-01,2.797517856955671345e-01,4.788729344958265743e-01,4.827240275778337253e-01,4.963983378114813494e-01,5.153201436404875047e-01,3.295845938217520921e-01,5.238518340832355458e-01,6.368460471912539278e-01,2.797237814516003729e-01,5.157850431671083813e-01,5.385024596118767048e-01,5.374970757090699047e-01,4.050029744698271927e-01,3.504593300584545879e-01,2.571322709672108631e-01,5.409374916967532032e-01,5.076991946344530104e-01,4.475392272311021769e-01,4.517611325904202779e-01,4.727983725315283992e-01,4.128488495279348247e-01,3.428839225499999421e-01,7.323626563523013555e-01,4.209788347252879648e-01,5.448142629691677952e-01,3.858600660017341144e-01,5.311352251760357301e-01,6.755080636810343320e-01,3.895340663060978814e-01,5.391958060369467232e-01,4.874949257237116695e-01,3.946011326873507530e-01,4.746532199375984029e-01,3.598253856249774563e-01,4.687343225312687878e-01,3.854163334587711320e-01,6.032720690558497356e-01,3.689768708137523556e-01,4.321802335520172345e-01,4.792432614639284827e-01,4.987768858781824743e-01,5.034612476862924124e-01,6.425692310000954421e-01,4.969205882462235935e-01,4.038647707173684265e-01,4.806565946562483815e-01,3.772438919966667470e-01,3.302027060241085610e-01,4.162817169893980873e-01,3.424670145461355952e-01,3.762640883714168938e-01,4.997552108376212554e-01,3.159492296548707113e-01,6.228405896818287601e-01,6.583242501782802236e-01,2.262591648425271440e-01,5.680526503383195314e-01,3.378096772786924329e-01,3.532179157774964495e-01,4.182596292832667650e-01,5.701898873640789400e-01,4.734020678102389690e-01,3.320485434764077759e-01,5.644861728304468862e-01,5.559666104991265456e-01,7.954821899596715706e-01,7.569086126800012027e-01,5.768344353774420563e-01,4.238030009270084553e-01,5.242139112599399908e-01,7.776638570420928431e-01,6.489509845669170218e-01,8.873956987957483111e-01,6.848774252327219925e-01,6.595369821725758364e-01,3.512161166589706229e-01,3.941651031061484955e-01,6.070082906395107836e-01,6.555171602996208158e-01,4.006319033436248067e-01
5.762974976882067474e-02,3.630065039240638058e-01,7.133069105600277071e-01,5.829902911515907338e-01,3.054748020630067007e+00,6.079062063241602587e-01,6.913188289818252841e-01,5.751504760077611467e-01,9.001500245696454350e-01,4.761724801425142872e-01,4.011901694038538801e-01,6.897759878623634933e-01,2.404910289592637751e-01,7.929598975014018336e-01,9.164397668079043990e-01,4.689511462004747888e-01,4.908773895884405158e-01,8.544154461585151683e-01,8.105942710077265190e-01,2.135032286136984703e-01,3.696401321392673300e-01,3.849714961813447966e-01,5.612943270602651635e-01,6.405499226107139732e-01,5.937198306512551094e-01,8.320435308248014250e-01,3.572768174062046498e-01,1.462751210572513560e+00,9.012709571615512560e-01,3.956994383452474562e-01,6.819508981745903142e-01,8.761330309600079413e-01,7.821522753038310238e-01,6.578635968250829968e-01,4.404698603726041606e-01,3.397442193566824753e-01,9.083970854483622848e-01,1.072590194275454101e+00,5.588741430705912450e-01,9.585999099697222192e-01,3.748939717278012562e-01,6.390682947125699842e-01,4.054566757609469052e-01,9.580256319602254989e-01,8.669197196906590630e-01,1.437283104575074466e+00,6.244988867735931093e-01,8.351374236997237688e-01,9.178050990008141952e-01,8.042323200305189213e-01,6.901002891029478503e-01,1.165914777611770203e+00,6.188479156174911955e-01,8.140606131618929320e-01,4.518867645386551724e-01,5.031570313464701627e-01,6.142427075954631777e-01,1.265408155874800489e+00,4.629455914496944380e-01,6.567312418020472276e-01,8.542841652485982928e-01,4.207034485426352499e-01,5.603796762991414271e-01,8.015188311050378545e-01,7.917777672234805886e-01,1.021180312468864093e+00,8.417773492574364136e-01,4.300123252416049868e-01,4.216413208635187426e-01,8.707471076002868404e-01,4.239346822326757191e-01,4.592124122910635764e-01,8.753648287883649681e-01,3.406192153867379502e-01,1.053693111856331521e+00,9.406847624795614538e-01,2.989333365232848538e-01,9.677058707650287861e-01,4.681734240584951579e-01,3.653408229462746237e-01,5.182302161991771960e-01,1.073629648773239742e+00,6.004056523809050416e-01,3.846546123382111881e-01,5.506480274495871852e-01,8.931949088692517913e-01,8.735787304193148861e-01,8.652509911936365761e-01,8.245857419621633877e-01,5.532832592544485451e-01,7.444430152523319189e-01,1.476304957483702163e+00,1.039482000844592413e+00,1.101635545409028971e+00,9.208757943168164317e-01,5.491856497929163972e-01,4.132876615740289084e-01,4.332437529071709315e-01,8.272600737694347783e-01,9.999345845202183281e-01,6.786992556411253208e-01
6.946621841464124814e-02,4.113628082370935912e-01,7.506177144289344350e-01,4.042640401092285618e-01,6.079062063241602587e-01,2.727784181808202479e+00,4.717312327398488492e-01,8.460898777327641174e-01,6.808895831614855121e-01,5.334371148467720314e-01,4.574767156792631795e-01,5.463634123799695486e-01,2.333043461781352523e-01,4.942591964187129649e-01,5.664976835453824355e-01,3.685943925311654934e-01,4.172596732488361160e-01,7.561307645377928210e-01,5.838810397226219528e-01,1.565203309111571073e-01,7.713013838257994914e-01,2.732097331359956138e-01,5.554547813102793663e-01,9.068423987218788840e-01,7.461586427978333935e-01,5.735667778713532394e-01,3.294833202862446631e-01,8.261117271127488282e-01,5.991138743364164965e-01,2.343139245913826163e-01,4.951816644851825822e-01,5.017156638477353603e-01,4.489976028826870302e-01,7.833333273468330304e-01,4.515544857724468897e-01,2.113919241294584805e-01,4.833868875897150974e-01,6.137151805306804153e-01,7.492642818026898910e-01,5.788391260832950191e-01,4.971036999754236407e-01,5.995907267360345294e-01,3.339296571418882698e-01,8.605297625613825829e-01,5.258323459034472958e-01,6.425327568148913038e-01,6.861024037525893515e-01,6.425720152272448304e-01,8.200754279589910212e-01,7.186107616900118122e-01,5.050460417228637144e-01,6.029813010942435270e-01,3.701631919574727703e-01,5.695650469272659500e-01,3.100130180159132998e-01,6.300238516753684515e-01,4.510181810500284438e-01,7.641889128393046793e-01,3.825310997442096794e-01,5.087034768995121192e-01,5.916401786461320533e-01,3.866710048064129768e-01,5.363259840725856931e-01,6.932083432247154731e-01,8.129571190294141436e-01,7.112096168037035371e-01,6.417579459844969803e-01,7.418941533603442551e-01,2.473553323404669435e-01,5.500571523354553793e-01,2.981780057997354683e-01,5.653637256148855705e-01,6.218661218046606098e-01,2.003159098159427998e-01,6.595920324863348005e-01,7.298138774575017029e-01,2.675055454527729415e-01,6.180064994646277121e-01,3.562001818882045701e-01,3.341675100642369500e-01,5.152851110268132917e-01,6.466233560866725405e-01,4.016837966024219275e-01,4.920424579971186541e-01,4.793038503494282954e-01,7.477403815119987307e-01,9.887111546847399124e-01,7.297056961848471524e-01,5.692462870580459189e-01,3.597180153277563797e-01,5.831509963130160346e-01,8.186890150811462208e-01,9.076295596814294431e-01,8.869869054516000828e-01,6.684955288347138591e-01,5.082069464779308543e-01,3.275657356315838653e-01,4.422306198182139325e-01,6.879485116891794760e-01,1.030000283371252046e+00,5.461402329740441264e-01
7.900658748394209785e-02,3.869696889222404845e-01,6.288225137678115084e-01,3.638698242751460254e-01,6.913188289818252841e-01,4.717312327398488492e-01,1.250955498365972973e+00,4.219731840511412035e-01,7.144810742635188117e-01,3.996257192976439554e-01,3.531436722785383786e-01,4.650159198434886676e-01,4.170510446916866898e-01,5.794902291545313000e-01,6.922213082631258896e-01,3.795639469843778424e-01,3.842450630325403016e-01,7.091948311810619687e-01,5.124018405295751588e-01,1.785319786245050389e-01,4.055094644701584539e-01,3.073419121193468606e-01,4.627475846078925592e-01,4.777804888781970183e-01,5.226457318810797670e-01,5.907837367588697486e-01,3.188195366555832688e-01,7.656031066813434593e-01,6.819002026782083892e-01,2.881981315363678631e-01,5.789996954957705722e-01,6.566920028814440258e-01,6.003439508739292219e-01,4.652104792716999504e-01,3.892750930504578211e-01,2.472826041109028594e-01,5.659428817680263180e-01,4.988458181768484212e-01,4.445230624293236565e-01,5.783417107984252237e-01,3.809177305447387085e-01,6.423846270462263419e-01,3.548875193500024561e-01,6.892910240453865578e-01,4.855164367590880659e-01,6.507703709284942128e-01,5.103628591858696550e-01,8.388421712184230827e-01,6.879591067100505608e-01,5.734952336298931863e-01,4.801386673639043701e-01,5.360568488036386858e-01,3.766457652743117057e-01,6.864990376512043468e-01,3.544263827688806101e-01,4.494830454508927930e-01,5.478570714613085757e-01,7.658383466598744915e-01,4.544576065539241427e-01,4.882661778094377070e-01,8.289207443980914913e-01,4.417249357147482458e-01,5.034847800447151966e-01,6.109345329396441704e-01,6.233191973132126140e-01,5.035331332190415843e-01,5.566214479812368054e-01,4.118592953390340927e-01,2.572635704572038828e-01,7.418495127316497850e-01,3.733947707334834276e-01,3.768552020916142165e-01,5.953784578823249074e-01,3.158677988086759925e-01,6.831410416428306265e-01,7.453327907000824037e-01,2.410662224765064143e-01,6.791364710059167864e-01,3.460131279558392725e-01,3.484282040983220918e-01,4.990515389045079853e-01,6.295219105280717153e-01,5.022214279375745161e-01,4.649926075183586915e-01,4.669619300595871936e-01,6.447391057283755611e-01,6.882981820057494371e-01,6.959389626391662143e-01,6.094502454549590720e-01,5.301781084051210291e-01,5.979822427025454079e-01,1.018429349159481578e+00,7.491302477237705704e-01,8.470893157844595622e-01,6.735097976803876563e-01,4.760943304170558443e-01,4.005908179789994250e-01,3.922198644090466035e-01,7.398053019586303680e-01,9.436424106324742267e-01,6.173239366201569434e-01
4.422637252424015120e-02,3.552543138369733677e-01,6.451343832291656089e-01,4.188129228396728632e-01,5.751504760077611467e-01,8.460898777327641174e-01,4.219731840511412035e-01,2.617752115249747824e+00,7.551659466467126602e-01,6.611437491089733332e-01,4.169677714038014793e-01,7.845806583108092536e-01,3.057885666375732003e-01,5.495951501037518172e-01,5.911340830378811750e-01,2.908589829030415186e-01,3.649098376417231337e-01,8.004904455172574540e-01,7.724123834809136779e-01,9.900727711673959486e-02,9.921738521997044424e-01,2.532062143256929576e-01,6.409739396325013772e-01,1.160811486099102119e+00,6.911590587410387787e-01,4.092205466761121846e-01,2.975317329539917122e-01,8.017088494396483744e-01,7.095531453643690867e-01,3.101122627914116858e-01,6.428161574813547885e-01,6.084778491847739890e-01,5.231310986692948584e-01,7.465391531601416331e-01,5.196722395578821097e-01,1.389050554405628912e-01,5.207218553617564138e-01,7.702520377552704023e-01,7.997354782834075193e-01,6.342035216220743843e-01,4.656475415718934197e-01,4.734039025425939018e-01,2.973293546912678664e-01,7.841519064572477493e-01,4.949862677987187931e-01,6.081900476821285872e-01,4.361034261662433686e-01,5.841826879028778619e-01,6.571852003641547313e-01,6.660962306697458812e-01,5.762140457514118852e-01,5.986476251428283213e-01,3.296946313297048903e-01,5.402665382736296928e-01,3.266898973899203251e-01,9.030213480171721541e-01,4.715245694110648533e-01,6.726410109412330751e-01,3.253775309588307074e-01,5.736984400849385324e-01,5.251670345931060968e-01,5.084228100422985008e-01,5.932140176361027084e-01,6.963376818541038293e-01,8.329698522349900935e-01,5.628250676331389979e-01,8.222238970649434764e-01,9.492624376779325024e-01,1.990496336911189157e-01,7.345006142691816731e-01,3.766717118013634957e-01,6.889004107412900479e-01,6.112894228664982332e-01,2.469212177921340512e-01,6.969637285733951693e-01,6.971041107637460099e-01,2.013074552946834961e-01,6.159864181979426423e-01,2.957326451327507155e-01,3.993171258780828237e-01,5.422726571846180343e-01,6.407666742541511251e-01,3.750314758301608875e-01,3.743400870079164888e-01,4.801887658497314693e-01,8.490761428403771349e-01,9.426308681704902437e-01,7.742342898778119542e-01,6.207070382244642692e-01,4.887556274447140692e-01,5.772313133126614204e-01,5.660327478565942982e-01,7.925099616192418095e-01,1.026905069316874863e+00,5.908597708575632490e-01,4.920624770890560384e-01,2.547181781626874919e-01,4.823888925872019118e-01,7.004211327298615064e-01,1.357247535424789930e+00,5.620468872268605809e-01
1.120583186020716049e-01,5.448732833502621942e-01,8.651604183549839178e-01,6.470251092460761466e-01,9.001500245696454350e-01,6.808895831614855121e-01,7.144810742635188117e-01,7.551659466467126602e-01,1.848639687386627095e+00,6.167525604066212974e-01,5.542178800523761550e-01,6.946936087160058282e-01,5.434162485273197341e-01,7.961517507785357273e-01,8.192334761047141978e-01,5.193584569346607616e-01,6.113642580216422928e-01,1.101759915743115936e+00,9.572984764057557161e-01,2.305572705820675694e-01,7.212798089910875676e-01,4.613361072383942441e-01,7.488281330247067435e-01,8.168000920478577509e-01,7.233926991215299251e-01,7.710871330821342795e-01,4.496639179543884257e-01,9.697076662403277814e-01,8.841665776694491719e-01,4.502248926746266755e-01,8.081796722880852935e-01,9.188853292792845684e-01,7.882420060288549690e-01,7.011816557465661015e-01,5.367793119882788844e-01,2.941751805612043413e-01,8.180275374448520154e-01,7.830206087403350779e-01,6.916587321538441024e-01,7.474917572574908409e-01,6.323779349264526672e-01,7.383029777161209672e-01,4.476627320604592009e-01,1.113737019948748630e+00,6.587047721171019887e-01,9.436108107463949679e-01,6.447977532616001595e-01,8.981456042147061281e-01,1.010475182081878920e+00,6.310226350753093127e-01,7.424279471135593056e-01,8.338862023305384508e-01,5.414373350266444840e-01,8.164118025742482798e-01,5.105797598698635920e-01,6.725922321289420358e-01,6.552874745984040850e-01,8.722846143531742813e-01,6.285307691920090090e-01,7.215636326740061390e-01,9.581978725091516713e-01,6.719614140475473896e-01,7.918656465106741482e-01,9.900071502109037969e-01,8.923559128583211653e-01,7.431031527538417558e-01,8.659969053132205996e-01,6.191454279794386117e-01,4.229598292521061231e-01,7.917430930856871329e-01,5.612033844952961648e-01,5.861782379907554130e-01,7.504928767606897644e-01,4.279754644610798686e-01,9.459114067756136945e-01,1.024799266358727312e+00,3.043632717610983973e-01,9.015711019205079335e-01,4.580671811411762273e-01,5.033049798977122791e-01,7.240961129152664322e-01,9.116965029800053744e-01,7.163742747294394864e-01,7.556909956713850907e-01,6.741665907027983851e-01,9.826675385260001949e-01,1.209006632055239949e+00,1.065469865801348170e+00,8.468353143685373174e-01,6.761006644042816260e-01,7.471988944581676728e-01,1.002146252800825144e+00,1.129872782198927617e+00,1.387709010702987023e+00,9.659699712864925347e-01,6.669508416878273671e-01,5.448371280931033622e-01,6.194445562432415731e-01,9.440120615500591228e-01,1.155157740445736048e+00,7.968233718095530937e-01
3.354611749073990040e-02,3.668053620382942803e-01,6.021469372879088011e-01,4.339463318338782627e-01,4.761724801425142872e-01,5.334371148467720314e-01,3.996257192976439554e-01,6.611437491089733332e-01,6.167525604066212974e-01,1.873199489484885794e+00,3.668906235967355212e-01,5.758813772307433965e-01,3.056680906039620504e-01,4.803969886672017631e-01,5.121505426409964645e-01,3.072247226456986668e-01,4.051762495875360082e-01,6.521789337289964905e-01,4.514986634696622758e-01,2.040823082128897237e-01,6.361845726910601018e-01,3.821810801380222666e-01,4.473475504875458753e-01,7.822159412892090158e-01,4.751407407552698525e-01,4.497927771635527039e-01,3.062381962610902786e-01,3.253246168787215509e-01,5.177123302648816150e-01,3.654309215046817050e-01,4.909769899039859720e-01,4.915884873564047020e-01,5.252865638799085746e-01,5.250208411502786943e-01,5.106382333698479270e-01,2.583175637937041302e-01,4.795143407914626565e-01,5.393616203405864340e-01,6.514526920406652488e-01,5.243070843543292670e-01,4.060512363532986502e-01,5.250280742757837960e-01,3.442072249629450353e-01,5.971972686295788924e-01,4.439730980517874182e-01,4.780762711716669555e-01,4.299537441054280262e-01,5.189074622599308961e-01,5.747923943371887612e-01,4.067671339645785866e-01,4.659077610051718943e-01,5.028496493305939508e-01,3.572576254467875190e-01,4.646669391217140843e-01,3.659032007326342706e-01,4.633683979969423494e-01,3.979272682496689528e-01,5.113409942985569501e-01,4.305207492551048620e-01,4.934667272125992099e-01,5.240142431564792647e-01,4.047080487316299102e-01,4.423811166249676519e-01,6.179993195276578533e-01,6.597278685576480894e-01,4.613341970237569423e-01,5.099955039921904021e-01,4.838304699376729801e-01,2.989509126293594110e-01,4.259252981126858684e-01,3.993368575361308515e-01,6.445173535524192365e-01,4.689524507372397344e-01,3.491726678237028758e-01,5.395589090506097696e-01,5.363835766928524151e-01,2.936635510976693397e-01,4.669948830684893526e-01,2.962459860425556424e-01,3.597639048159246844e-01,4.414708552445421597e-01,4.881585391595207324e-01,3.499218895855426004e-01,2.949653558089016525e-01,3.929859474327202506e-01,5.672135691281957603e-01,6.677960590059621726e-01,6.091590068805329272e-01,4.834956019131856353e-01,4.609106254897825106e-01,4.741523956486763947e-01,5.860263659714499695e-01,5.511031692686015893e-01,7.781674216611907946e-01,6.010350370533203979e-01,4.782800459844158691e-01,3.170848296409543576e-01,4.211885621933039725e-01,5.227506629578146935e-01,1.073438637880797408e+00,4.631613446971626358e-01
-2.308362197308347352e-02,5.086094890541872360e-01,4.515137657515080338e-01,3.533425090188067053e-01,4.011901694038538801e-01,4.574767156792631795e-01,3.531436722785383786e-01,4.169677714038014793e-01,5.542178800523761550e-01,3.668906235967355212e-01,1.655573845214549644e+00,4.682095960286357661e-01,3.440589564129218347e-01,4.082748994028620459e-01,5.128932918822819431e-01,8.674551281692378657e-01,4.538809934141757041e-01,3.809384841641340058e-01,5.011684531383486796e-01,5.055464380022245408e-01,3.564024686470652070e-01,4.696661890496298120e-01,5.441211001367389777e-01,4.653929523208237828e-01,4.057655746306738642e-01,4.825038003053581104e-01,8.093880587810445837e-01,7.361929723028829420e-01,4.765914056440893054e-01,4.330282930444280254e-01,4.816366725153699013e-01,4.490529976643580778e-01,4.588449083398054573e-01,3.283064918965161727e-01,3.577178264311448030e-01,6.262538075070868127e-01,4.801975781066676330e-01,4.421361688012169222e-01,4.728396484529572286e-01,3.361843060286339169e-01,3.886645518835971091e-01,4.637320818808535750e-01,5.004908230387710155e-01,5.342969489908869773e-01,5.108310222688929869e-01,4.375649402979283065e-01,4.606176980708776569e-01,4.194970288665735292e-01,7.786294219692836416e-01,5.638015271726930511e-01,4.039271875365730846e-01,3.875876854902012281e-01,6.100830011025917265e-01,4.755501849947765813e-01,4.941105218964428891e-01,3.901740282940324711e-01,2.583929519515401063e-01,5.818181775256486832e-01,6.966560344247769709e-01,5.626061050447699330e-01,4.183064248250655259e-01,3.219941991699433737e-01,4.731628518111318793e-01,4.248926339511483463e-01,4.552806743352931784e-01,3.865294817675599681e-01,5.958768762858417389e-01,3.249842719046156514e-01,5.526787135391839634e-01,4.240756709391269030e-01,5.237041176144582311e-01,4.209749959482651516e-01,4.922070148149343960e-01,3.943287239698386459e-01,5.136590312477308240e-01,6.472500325742704952e-01,6.066558956447840600e-01,4.419532770954361922e-01,8.213239103566597477e-01,4.554192568253541684e-01,5.369402839491929091e-01,5.212323172064428078e-01,4.631194812347011469e-01,4.779971418253699533e-01,4.045942898735473969e-01,6.256076336044704700e-01,5.438040464125627471e-01,3.787487707054859598e-01,4.696955748647092532e-01,4.849102694638510180e-01,4.175375320563548542e-01,6.016648528536313600e-01,6.037647548964657496e-01,6.045917165734531196e-01,4.469091483284144961e-01,5.263169250477982564e-01,4.306064351590672690e-01,1.025092352157863873e+00,6.116068111579502364e-01,5.852953226699288969e-01,3.990078756263487070e-01
