mean_return,MO,BLL,NTAP,AFL,AAP,SRE,MGM,DHI,AON,AET,NCLH,NWL,BLK,HES,NTRS,AEP,FL,AOS,OMC,PKI,PXD,FDX,GWW,WEC,KO,SRCL,IDXX,HST,EXPE,ADSK,DHR,HCA,TAP,MAT,DE,MET,EOG,WYNN,GLW,WY,HCP,SCG,MDLZ,CNC,FRT,CSCO,CTL,APH,COST,ORCL,DRE,ROK,FCX,XLNX,STX,ZBH,WYN,SWKS,CCI,CMG,OKE,CHK,UHS,AMP,SO,ALXN,RCL,FITB,UTX,MOS,WDC,COL,LUV,APD,OXY,PSX,LMT,VAR,DISCK,EXC,PRU,RRC,DUK,CHRW,EBAY,UAA,JPM,ADM,DGX,DVA,LH,INCY,ALB,TROW,PFE,HP,BEN,EA,NSC,ECL
1.138355772461514207e-03,1.020382456411610724e-04,5.813124184694369931e-05,7.126983549802822285e-05,4.011538329437057887e-05,3.681158766810236965e-05,3.471568349170250104e-05,4.930847172419758920e-05,4.933563874951440287e-05,6.249558929643677957e-05,5.445198946236525655e-05,4.216224502143722894e-05,4.487541365185608805e-05,4.568407864209562795e-05,4.598155780413870690e-05,3.418760525243955362e-05,5.489141792785656764e-05,4.715492041773813631e-05,4.208900945202826772e-05,3.684467021367689626e-05,4.162422534616985189e-05,3.299761402288179101e-05,4.008072003978159221e-05,3.300013508495014565e-05,5.252332207562324985e-05,3.510907922991815723e-05,5.145292622564421822e-05,3.756660754921167670e-05,4.293961779566949055e-05,4.814386744810206708e-05,5.225740101230693627e-05,6.265472782467066304e-05,6.184371795824607470e-05,4.063265938922239586e-05,3.970093327358684599e-05,3.597813196589037745e-05,2.957152893067956800e-05,4.673383237917390977e-05,5.536908162218305004e-05,3.963481049232558414e-05,5.110615681635517744e-05,3.351454663178780603e-05,3.616659690577465100e-05,3.075982504417049633e-05,4.661664313736120648e-05,4.295910113450985131e-05,3.645803040255910074e-05,5.114301817134283629e-05,3.259778046321648787e-05,3.604758141978097526e-05,5.799237624991921065e-05,3.555240532135307428e-05,4.247963651890719383e-05,2.737088742711524581e-05,4.652251690706652696e-05,2.936621625604792326e-05,5.143721802561988571e-05,3.398967879446233934e-05,4.451411428138560500e-05,4.347676345969496756e-05,3.651996081578126678e-05,5.030427196015660918e-05,5.275517917295439904e-05,3.778387765559023287e-05,4.087263841999323288e-05,3.626308467102909401e-05,4.645428690970520821e-05,3.537361143768879819e-05,3.673303403758084118e-05,3.791019256402521927e-05,3.784055640867101285e-05,5.548174954925590082e-05,4.191247533742739292e-05,4.083204545555042738e-05,3.935797907719577150e-05,4.856070610536180541e-05,5.622127613714752694e-05,4.324414448445395703e-05,4.930257030282096258e-05,5.495190345676570812e-05,2.930987101390078580e-05,4.093678807414955352e-05,3.351170578986071023e-05,3.961451074041224028e-05,4.660583601498108418e-05,4.947785949657544776e-05,6.745971879683775767e-05,3.629571941797125125e-05,3.858564076117094679e-05,3.149623056152111954e-05,5.042849160408710855e-05,5.310592792305325615e-05,3.869507306691789426e-05,4.284173936924163151e-05,2.639497017552272482e-05,3.019185263661346304e-05,5.247727714240987091e-05,4.349233962741078574e-05,7.542774000644633301e-05,4.824103872038247191e-05,3.146785689116359116e-05
-2.709018820756977486e-05,5.813124184694369931e-05,2.158676393264045729e-04,1.715925372865036516e-04,6.942773945402401124e-05,1.203875906103443066e-04,5.314559798373516769e-05,9.311148664956436587e-05,8.788923137831644778e-05,1.795708168792536832e-04,1.296301896499396503e-04,8.187993582340887064e-05,8.074110439925502017e-05,6.411020442587288455e-05,8.852955609766050666e-05,4.885082740387458979e-05,1.070997352607623484e-04,8.851764212583829367e-05,8.009332680777662137e-05,7.364804289125285639e-05,9.379728642932032203e-05,8.864108955075123471e-05,6.559866534293038603e-05,4.345290924387838679e-05,1.110814257677423676e-04,4.657574498927014413e-05,1.215509096241080650e-04,6.711768462075148932e-05,8.614376596751186204e-05,1.034095422398004363e-04,1.281192442163225638e-04,1.530216248918881642e-04,1.360490512065733897e-04,8.682518227975699913e-05,9.899070575793584301e-05,9.767260832115894466e-05,4.290478272869768117e-05,7.869273518632533600e-05,1.466495468852920686e-04,7.580472827294858749e-05,9.656565588121497504e-05,6.538903700914430489e-05,1.165983064113613961e-04,4.342645538495489748e-05,1.020428469990170624e-04,8.401304011039175713e-05,4.996074669271261437e-05,1.192787421537738665e-04,8.065309466470645474e-05,6.960440405238670233e-05,1.205228605487460952e-04,7.273612169646596350e-05,1.082799694856547313e-04,5.441824671753718080e-05,7.739357777693342978e-05,1.184801284943864811e-04,1.150873605136911565e-04,5.897074490086437259e-05,8.454689341344550539e-05,9.339679676580984905e-05,6.270314067796265919e-05,1.023591138627921065e-04,1.350767675867533331e-04,5.964689270172360275e-05,7.052830027620549786e-05,5.327155955906539555e-05,1.093992957165886004e-04,9.298186578438561378e-05,6.330787809479503222e-05,7.628205350748590318e-05,4.737855369791224677e-05,8.353007708198782787e-05,8.116101757114685313e-05,8.817995592859887561e-05,8.740909057753130451e-05,1.271661293812353076e-04,1.454459659448614111e-04,7.520908206542929926e-05,1.113554026090743957e-04,1.247914638595516181e-04,3.135762337728545840e-05,8.158500310832079647e-05,5.390652527591637271e-05,6.202041345403001111e-05,8.022043447713679142e-05,8.771067778893459563e-05,1.299980402666532501e-04,7.228022263101127490e-05,7.182003353830157132e-05,7.574178311440675536e-05,1.050551251798395331e-04,1.020481348851415857e-04,1.009374245263360947e-04,7.183023405873952092e-05,6.622385455500678735e-05,4.071242501932799261e-05,1.242114440957592923e-04,8.206960934760496994e-05,1.973771270544319618e-04,1.175313889558991424e-04,5.116660605309996225e-05
9.372599095325277090e-04,7.126983549802822285e-05,1.715925372865036516e-04,3.124237048410075947e-04,8.008044206903161457e-05,1.424029589030608735e-04,4.415883177779759858e-05,1.117459282711751587e-04,1.013280904397585768e-04,1.978320557772484062e-04,1.931100068242579549e-04,9.395679680772207746e-05,9.678785959847521151e-05,8.499571886384415175e-05,1.028835455043869797e-04,3.770069858892873785e-05,1.149397607400471066e-04,9.605520064940417017e-05,7.747342806871789162e-05,8.568352093514519912e-05,1.361057007398982349e-04,9.915283644289795177e-05,5.671708162612232378e-05,3.672157799155648155e-05,1.267735801755685583e-04,2.259288827455170195e-05,1.719386062899247653e-04,7.679307860373248574e-05,9.530907833151945792e-05,1.230425679305696164e-04,1.521437502050323565e-04,2.034423998090821302e-04,1.494960311056421707e-04,1.089733860417090451e-04,1.190579522390442305e-04,1.078572320777266457e-04,3.498745455448748368e-05,8.862021962841101373e-05,1.854925645851982462e-04,8.900583081243620119e-05,1.186616830387162525e-04,8.996332325242517222e-05,1.310800170007041742e-04,2.442872385668484872e-05,1.152744598528334188e-04,1.119170953599880869e-04,4.989179102709347807e-05,1.486876003972553717e-04,8.855865436807256038e-05,7.417140072335940749e-05,1.430420297502498612e-04,8.004166626430527084e-05,1.190293303375394287e-04,6.077707739314888724e-05,8.372224258220860218e-05,1.374715828267223619e-04,1.301111014074812907e-04,3.481799686603651099e-05,1.082246430951995015e-04,1.159880349265701688e-04,7.415962199388862418e-05,1.244143672587985324e-04,1.557282987469666422e-04,7.089102749092973535e-05,6.521401155875884920e-05,4.400552378084230331e-05,1.591214508224749694e-04,1.021495396056020910e-04,7.355119924661486779e-05,9.042329276389668739e-05,5.173210157374762797e-05,9.221440994559572087e-05,9.927455034547285999e-05,1.163798328667812570e-04,1.127924755267293758e-04,1.519942622487574545e-04,2.354719514312841086e-04,9.292213358459782649e-05,1.265569885317751264e-04,1.444570190805714762e-04,-6.931875053181954216e-06,9.677653273416833969e-05,5.122455069016829403e-05,5.255277678823378732e-05,1.013992438032811213e-04,9.641761923645335557e-05,1.196371874941019973e-04,9.396705824041868963e-05,8.514478892720380820e-05,8.674260487963980192e-05,1.184019541150687651e-04,1.199195806493253894e-04,1.128215865609324438e-04,8.083103169734342532e-05,7.614731364921050046e-05,1.085264299853959597e-05,1.239820079082390252e-04,9.796576026399241445e-05,2.303359299991826947e-04,1.136662946136872524e-04,3.158576009405563855e-05
2.934433124849816863e-04,4.011538329437057887e-05,6.942773945402401124e-05,8.008044206903161457e-05,9.893658924150861630e-05,5.566460060576546725e-05,3.848781698922327523e-05,5.570162718217198174e-05,6.047398285677539972e-05,7.476842133119963819e-05,6.301907132391225842e-05,4.834443956756507606e-05,5.517151839493676321e-05,3.944071506271048849e-05,5.069717472885231711e-05,3.458188294018868124e-05,5.893079956399393913e-05,4.769289017528544332e-05,4.209917407725280030e-05,4.348793869445533521e-05,4.913379190731939492e-05,4.618865722634149073e-05,4.058913082591233262e-05,3.216775531758593436e-05,6.547503847592953379e-05,3.309501756532605264e-05,6.290624974413418365e-05,4.962413948381144143e-05,5.248541851631039655e-05,5.451780658348052082e-05,6.781346183712509831e-05,7.360703296267641349e-05,7.004851685350624649e-05,5.105559264956090128e-05,5.221867669797276309e-05,4.904623012001994739e-05,3.596804209522086226e-05,5.256594583852339752e-05,6.996256633961809765e-05,4.378813928379829591e-05,5.614198077908936910e-05,4.304052418299376498e-05,5.643362061702878314e-05,3.163923818335578301e-05,5.951112150630051800e-05,4.801309337273893245e-05,3.823645371271123871e-05,6.022978982492212843e-05,4.327394852264067077e-05,3.696674742296300354e-05,6.451401991889759888e-05,4.908997782519755224e-05,5.747111097208196630e-05,3.344737900697043422e-05,5.119276976539353745e-05,5.226619762613225311e-05,5.902217925167564162e-05,3.268747012034958494e-05,5.153737332310299969e-05,4.911348803801186098e-05,3.653282884750922393e-05,5.515940174539091316e-05,6.276443831016694029e-05,3.653179310827602748e-05,4.102419207525447020e-05,3.709395792235118804e-05,5.402053290193354674e-05,5.460476997992230437e-05,4.054498331718987017e-05,4.889650120027709611e-05,3.651766228645427138e-05,4.851164586486593299e-05,5.217397743754401953e-05,4.760628738322222490e-05,4.836821205192969432e-05,5.670534974830040309e-05,7.102048239284899477e-05,5.017871464693224819e-05,5.777951591548209886e-05,7.062011950569426540e-05,2.543392957712848701e-05,6.540224287504724427e-05,3.565618333644562634e-05,3.692178712112924923e-05,4.828959684388535418e-05,4.933120321868607978e-05,4.831667715637206849e-05,4.780018966075434927e-05,4.711946574951428053e-05,4.598621043197618228e-05,8.859179253370549813e-05,5.675987764161375819e-05,5.165244061051079056e-05,4.619228690256191658e-05,3.422200789258353766e-05,3.583523242012400461e-05,6.730933356855507688e-05,4.450059644288721709e-05,9.232038871338877164e-05,6.474690014823071332e-05,3.282499698033239312e-05
1.449463309034108914e-04,3.681158766810236965e-05,1.203875906103443066e-04,1.424029589030608735e-04,5.566460060576546725e-05,3.541061400451864130e-04,4.253425795018804094e-05,7.454797286569985447e-05,6.350175696836764076e-05,1.373043579869377944e-04,1.056302467184750803e-04,6.023771112369785002e-05,5.883286585087495456e-05,4.297938748834703536e-05,6.457553079975469272e-05,2.823530576956594058e-05,7.954081304726297959e-05,5.564869680701181658e-05,5.675816518341666929e-05,5.066119930175058754e-05,7.143510827624697341e-05,1.783342972830053591e-04,4.607084730869056091e-05,2.522366506407532316e-05,8.209327981140263314e-05,1.509980610994683701e-05,9.842068472716239023e-05,4.567855342096171194e-05,8.146841170984330091e-05,7.832660960299194137e-05,1.289774183456620759e-04,1.170382435259058074e-04,1.655522960056213981e-04,4.097543734683012411e-05,9.856950762994773167e-05,7.185519611620715900e-05,3.418354927785208517e-05,6.572979828523375402e-05,1.053213763691092895e-04,5.182354874380726533e-05,9.033286008763124467e-05,3.909738006129570326e-05,1.561474825754489287e-04,4.151609636303309284e-05,8.586459982035917003e-05,6.799690470442924198e-05,3.468762475036356595e-05,8.308608800103091136e-05,5.109025192877823389e-05,4.094441324208823296e-05,7.163707238666771032e-05,6.259402860975760640e-05,9.213766985513216685e-05,3.675901987954292919e-05,6.642032993362182304e-05,2.104830959646699100e-04,7.199858038189111710e-05,3.408724958811179588e-05,5.136906111230076909e-05,6.368529424281804241e-05,4.818392241396952946e-05,7.116840832580709274e-05,1.056499321169509576e-04,3.361985176916284254e-05,5.198806251578743910e-05,4.067034858247937099e-05,8.666125396407000487e-05,7.946293990045380528e-05,4.312638034298224755e-05,5.833791383872465671e-05,3.624061109049860947e-05,6.728620099708950233e-05,6.643787201987907693e-05,8.741172206182221973e-05,6.276426222032762932e-05,1.955066639022255345e-04,1.236569182137192073e-04,4.251672695400488401e-05,9.334528378379619389e-05,1.187129095579002541e-04,1.546513223042570074e-05,6.491612626433160456e-05,3.174754973771315517e-05,4.393355494424379794e-05,6.282325296920767928e-05,5.783780127510119003e-05,7.412322495783523228e-05,5.637227021351644708e-05,5.034973984738452362e-05,6.854934979886691184e-05,8.091608033306385941e-05,7.727702907969177847e-05,-8.588130839602395162e-06,4.626905528268026224e-05,4.855773561630363224e-05,3.157773939102841745e-05,9.228913484057431772e-05,7.095210552685597878e-05,1.901502518717486780e-04,8.313826332114550343e-05,2.720015857799605488e-05
2.199106638503050767e-04,3.471568349170250104e-05,5.314559798373516769e-05,4.415883177779759858e-05,3.848781698922327523e-05,4.253425795018804094e-05,1.027170622891716362e-04,4.236193740756063580e-05,4.510900454627589704e-05,5.383423733779862475e-05,3.296543357357170580e-05,4.016574285487059959e-05,3.566990414707066917e-05,2.861198061915885672e-05,4.330758617004618088e-05,5.811098952442810602e-05,4.965265472578314952e-05,3.885044160595107566e-05,4.227138778107583433e-05,3.113655735496309368e-05,3.630578438736002200e-05,3.402301593825367640e-05,4.788851604031519493e-05,4.003076089384436563e-05,4.552353032940257595e-05,4.544995091613601956e-05,3.997791271314030971e-05,3.883811512659056245e-05,3.817680721487226462e-05,3.906593729420614302e-05,3.947704467609571710e-05,5.311491886415979543e-05,4.674154008868127558e-05,3.976801107173551117e-05,3.522771112200982915e-05,2.690372304557081388e-05,5.090553037260639636e-05,4.547944169890507477e-05,4.312796996663862721e-05,4.026590949763401961e-05,3.596091228745030313e-05,3.354719475765668003e-05,3.613593868762215094e-05,4.261588269453830957e-05,4.053518125968739197e-05,3.752826291900684166e-05,4.809085973758052055e-05,3.798344074176069306e-05,3.387393068563715812e-05,3.272931402000666426e-05,5.006156145117859972e-05,4.618229184326778621e-05,5.047347866975866547e-05,4.475386087211295836e-05,4.039931388292419319e-05,2.879201692002195104e-05,4.454921253008272189e-05,4.084994507975214974e-05,4.526196828356449315e-05,3.467964621381080598e-05,3.526634511194237122e-05,4.411480016156317264e-05,4.963927641681400212e-05,3.832071847426187509e-05,4.342745488881720928e-05,5.173130794386302601e-05,3.156367268026152552e-05,3.138039653187875823e-05,3.350647472154964838e-05,3.983047667733795858e-05,3.760760260833375795e-05,3.891545660128840450e-05,4.391149400334129244e-05,3.340133849293809337e-05,2.377049889817838229e-05,4.596473367556629320e-05,3.740774091087464083e-05,4.056063240953596455e-05,4.274882783159791335e-05,4.320970078431082226e-05,4.628090499291893976e-05,3.230700873226237093e-05,4.285742032721217030e-05,4.898537769182863109e-05,4.327054917415237194e-05,4.706997519240436057e-05,4.885247731297744480e-05,2.627799526149763215e-05,4.077847851479805233e-05,3.874081041493245285e-05,4.030032179781141731e-05,4.624334510433983727e-05,4.765589573568961782e-05,3.743798469396163815e-05,3.011050703934276096e-05,4.421655691861383725e-05,5.557100251702371956e-05,3.604753053772095564e-05,4.379757590525506524e-05,5.611306656927198905e-05,4.024009582026762854e-05
1.008758876002486919e-03,4.930847172419758920e-05,9.311148664956436587e-05,1.117459282711751587e-04,5.570162718217198174e-05,7.454797286569985447e-05,4.236193740756063580e-05,1.593465816340291499e-04,8.540369770896291972e-05,1.148679748233470135e-04,7.994651999889192410e-05,6.904076250851927323e-05,5.816501468662050727e-05,6.719659541100172378e-05,1.258466606424542766e-04,4.419260575692374735e-05,7.924621992252629582e-05,9.430404227233104544e-05,5.704512358358784178e-05,7.568905401036639673e-05,6.864043115613521534e-05,6.442877924840317730e-05,5.020935721449398023e-05,3.611167802643502585e-05,1.107494409989908171e-04,4.486832239943007417e-05,8.309906423505436708e-05,5.458320268628407291e-05,5.504616178352724317e-05,1.089357672487509823e-04,8.949862151745813449e-05,1.046364212986219711e-04,9.657294650353625632e-05,8.564750303936750052e-05,6.728513142228572329e-05,5.341791317984735253e-05,3.671689496142140373e-05,8.183199420166277851e-05,9.751453405695866537e-05,5.910130631922947818e-05,7.146345937045308391e-05,6.484636432290105299e-05,5.887569503614980334e-05,4.101588051285467849e-05,9.127896321848784258e-05,6.075851019536779535e-05,4.378244927735541948e-05,8.499653021275652327e-05,4.590934576983810576e-05,5.114941685558139248e-05,1.085428896025546311e-04,5.960615775046331150e-05,7.538367236433894843e-05,6.246861373282393314e-05,5.831460995291333651e-05,6.313863160613195611e-05,1.028767502216608996e-04,4.513039942209209763e-05,8.608576942686719049e-05,7.216934120133501444e-05,4.967455998248574149e-05,9.169957461897580524e-05,9.605948289098134813e-05,6.323429771676317341e-05,5.007192804127453390e-05,4.406166100439491375e-05,7.067107037310880395e-05,5.000717674673439927e-05,6.057351441312429786e-05,1.068161027095506374e-04,4.427993392074001244e-05,6.408314728336432693e-05,7.441083966778796425e-05,5.896306584080710151e-05,6.999944521249502243e-05,9.900858257228279812e-05,9.684937934469699228e-05,7.560834181268328582e-05,6.673258220581525322e-05,7.922203630841719143e-05,3.357547217995673791e-05,6.026014085054572030e-05,4.503413549782115017e-05,4.889494621012447040e-05,8.172982295353588668e-05,7.136238602338999630e-05,9.423443013415255874e-05,8.130626331216720618e-05,6.125636637109392862e-05,6.454874322181455599e-05,7.959727257388031344e-05,7.993527016077115442e-05,7.465150698309523582e-05,5.846708570143080284e-05,3.766551211613597584e-05,3.743757759878621081e-05,8.454077066083666046e-05,7.235436313791567149e-05,1.204705236093202124e-04,8.318463435760819905e-05,4.630071637153261745e-05
6.167390841384227289e-04,4.933563874951440287e-05,8.788923137831644778e-05,1.013280904397585768e-04,6.047398285677539972e-05,6.350175696836764076e-05,4.510900454627589704e-05,8.540369770896291972e-05,2.821522286091661890e-04,9.883053295302886407e-05,6.976028108126662954e-05,5.576357144851273764e-05,4.998221090204496363e-05,5.753505179188782612e-05,7.718149976493427562e-05,3.868722696569728496e-05,8.975366990609898339e-05,9.134783929449798699e-05,3.703259445145491897e-05,7.423412351764601606e-05,5.446548333831605429e-05,5.574008329024518927e-05,4.351670745555552409e-05,3.269545799107506190e-05,1.946249714007158458e-04,2.992699039641541993e-05,7.346753739857024416e-05,5.317373735702728415e-05,5.475037102219020067e-05,9.403738331097633767e-05,1.193377878756174485e-04,8.341069842156636528e-05,9.795038288419491250e-05,7.209115617945584069e-05,4.924915243256092683e-05,5.518740134402573387e-05,4.039284799180145483e-05,8.044811363374458472e-05,8.674885318231929866e-05,5.205750007181576388e-05,7.364219077110572404e-05,5.668160637615197615e-05,6.074541035809922145e-05,3.429567069452988510e-05,1.332804824934280216e-04,5.060482897322806652e-05,4.403246718204503122e-05,7.153964581280071889e-05,4.184650716081341891e-05,4.209853817771439107e-05,9.646310468924327816e-05,6.077042065607048550e-05,7.678288270441545912e-05,5.047061819947860380e-05,5.392564569764438971e-05,7.146722844402376030e-05,9.236785327039626623e-05,3.149639814618519480e-05,7.477702779059060831e-05,6.641555978007676413e-05,4.489569169517267224e-05,7.142603006318496372e-05,8.574565806275428559e-05,7.054610262258581555e-05,3.922397797330930982e-05,5.458266061208644383e-05,6.336143450916548322e-05,4.023994080576901572e-05,4.931073426646598242e-05,7.297785256104219313e-05,4.186118935388264198e-05,6.716078803831178432e-05,6.708712207449401708e-05,5.579536200244755983e-05,7.553765603118424280e-05,7.819483990089002494e-05,8.468243937312079921e-05,5.484544334101451525e-05,7.303810137700920534e-05,8.393788417415395605e-05,2.562589646429253853e-05,6.117171445564277392e-05,3.701571801900596371e-05,4.878862826155392718e-05,6.058448049843691155e-05,6.376637955940757103e-05,8.255786411931511346e-05,6.471799903289498189e-05,5.559782491648477393e-05,4.538309922792886132e-05,7.633279775452773421e-05,8.035487784995121543e-05,7.108184574667557982e-05,3.982094479161353025e-05,3.251034703784056807e-05,2.515320921260721755e-05,8.657444606670907066e-05,6.289054037170680193e-05,1.128248442616422480e-04,8.382381809582278875e-05,3.455778106355165323e-05
3.398729664073432168e-04,6.249558929643677957e-05,1.795708168792536832e-04,1.978320557772484062e-04,7.476842133119963819e-05,1.373043579869377944e-04,5.383423733779862475e-05,1.148679748233470135e-04,9.883053295302886407e-05,2.831353792175054932e-04,1.529382620677988364e-04,8.803196708053376133e-05,9.149132867816150570e-05,8.141840875657096164e-05,1.044786336763357267e-04,4.874065947951556352e-05,1.170604558019703526e-04,9.771792459459913865e-05,9.151376403849930026e-05,8.584327294708699496e-05,1.095288619021247842e-04,9.738608593172516095e-05,7.199823293137896224e-05,4.046550908400627338e-05,1.261044731416161480e-04,4.461325941682426597e-05,1.402054531167737470e-04,7.451307698806504854e-05,9.504662929038997735e-05,1.303133913781065565e-04,1.565118442750781458e-04,1.763929092099931974e-04,1.610507994828636036e-04,1.084897001219692673e-04,1.097825430177991563e-04,1.002094002341209398e-04,4.405735546647760484e-05,9.733781827459666105e-05,1.651131659668593314e-04,8.096316087306873585e-05,1.103673987809054011e-04,8.878680693960111720e-05,1.283166566775208010e-04,4.383768116011357087e-05,1.194347926874388772e-04,9.731470432721372283e-05,4.617502341766088791e-05,1.352938563847285738e-04,8.528390131231901273e-05,7.803123282509211742e-05,1.401493558969725398e-04,8.550879183927224741e-05,1.189267870016609763e-04,6.484268599865986862e-05,8.349721009660942509e-05,1.347273103470344069e-04,1.304514002341475157e-04,5.554946409801814666e-05,1.055529303172845888e-04,1.030271865896675599e-04,7.367895289963068378e-05,1.280624727735138544e-04,1.582846306066192955e-04,7.034511220243030809e-05,7.705809815895467169e-05,5.365981555674196110e-05,1.255626488784177279e-04,9.886021760551704613e-05,7.382874699769553708e-05,9.907647889962388022e-05,5.277127102755092711e-05,9.114003795482111467e-05,9.069707229032845680e-05,9.776317153441487894e-05,1.112954232034301288e-04,1.498524437915658752e-04,1.699859171609875578e-04,8.551161949211541719e-05,1.317854525356164147e-04,1.302850474961157409e-04,2.600289070149250110e-05,9.706685784928559377e-05,5.176795968369229706e-05,6.552614651317191106e-05,9.519331384706831024e-05,1.003791472384733352e-04,1.268770814924890925e-04,9.492906258017939978e-05,8.161351853010784143e-05,9.749362253556056004e-05,1.103437977090129780e-04,1.112112199175553878e-04,1.209227174180823168e-04,7.945165835839966594e-05,8.230093552103721910e-05,3.279940540651405252e-05,1.355407727098123342e-04,9.300948329410329489e-05,2.202286533621976706e-04,1.305140506216967530e-04,4.785128415536263070e-05
7.283909873843487457e-04,5.445198946236525655e-05,1.296301896499396503e-04,1.931100068242579549e-04,6.301907132391225842e-05,1.056302467184750803e-04,3.296543357357170580e-05,7.994651999889192410e-05,6.976028108126662954e-05,1.529382620677988364e-04,2.227359998935909675e-04,6.420607215186946871e-05,7.522103522680818205e-05,5.795959084959387937e-05,7.484613433639146550e-05,3.324141959506200615e-05,9.011743513472815384e-05,6.258936064514104987e-05,6.077479994071214529e-05,6.412102224903687344e-05,1.005167669682769722e-04,7.183279870930553467e-05,4.416151972484432388e-05,2.961682852616494469e-05,9.458373840697091594e-05,1.877277561819702445e-05,1.454125388622176337e-04,5.583086274510509230e-05,7.933638851563210156e-05,8.749059937111059544e-05,1.187405181062573103e-04,1.484958322704620277e-04,1.149871254636095557e-04,8.371779135288988599e-05,8.345855585948626051e-05,7.779636260373853755e-05,2.622770431673756287e-05,6.810251262705215513e-05,1.428413133290927571e-04,7.386300254579288905e-05,8.666405392655791688e-05,6.474272165838997203e-05,9.981360107446496897e-05,1.864347478619936710e-05,8.600320765172868049e-05,8.235140076845613917e-05,3.628429911429435496e-05,1.175814079520612630e-04,7.265780510062725783e-05,5.712111513197151979e-05,1.077670680999715848e-04,6.052956918218416871e-05,9.411381023589795829e-05,4.382154024410032293e-05,6.684101419502390580e-05,9.873095266107636658e-05,9.314337603185073023e-05,3.222558200011961055e-05,8.391571092994097353e-05,9.243244059668794389e-05,5.484545494396794268e-05,9.290244405555737937e-05,1.167486029659985022e-04,4.764963660577198752e-05,5.096673766603873260e-05,3.475206739230616090e-05,1.463770703794999419e-04,7.899803672663450170e-05,5.685337719552803921e-05,7.725606361280483653e-05,4.525456329433078033e-05,7.081316598921095704e-05,6.981090295373162577e-05,8.958659676974471057e-05,8.637089368886680780e-05,1.103901649306095396e-04,1.628464877500975460e-04,6.446890266531907156e-05,9.240067053464200814e-05,1.083019745550982610e-04,-3.838850848248319778e-06,7.772371277885033430e-05,4.063433829740009369e-05,3.516186087225585047e-05,7.444284483574877963e-05,7.067188155580505420e-05,9.310340571937727658e-05,7.163556370682720319e-05,6.443046004066270069e-05,6.517769228994829797e-05,9.116888170930545292e-05,8.446698984251688549e-05,7.455021126516440271e-05,6.281018073886288501e-05,6.419873659021981937e-05,1.172075252119489350e-05,9.712903352199576468e-05,7.745554247800355411e-05,1.580077408366585058e-04,8.583341198222000257e-05,2.423166173707484386e-05
