iShares Core S&P 500 ETF
Inception Date,"May 15, 2000"
Fund Holdings as of,"29-Apr-2015"
Total Net Assets,"$69,377,710,110"
Shares Outstanding,"330,600,000"
Stock,"99.66"
Bond,"0.00"
Cash,"0.26"
Other,"0.08"
 
Ticker,ISIN,SEDOL,Name,Weight (%),Asset Class,Sector,Market Value,Shares,Price,Exchange,Notional Value
"AAPL","US0378331005","2046251","APPLE INC","4.0061","Equity","Information Technology","$2,807,657,405","21,825,695","128.64","NASDAQ","2,807,657,404.80"
"MSFT","US5949181045","2588173","MICROSOFT CORP","2.1518","Equity","Information Technology","$1,508,110,631","30,740,127","49.06","NASDAQ","1,508,110,630.62"
"XOM","US30231G1022","2326618","EXXON MOBIL CORP","1.9706","Equity","Energy","$1,381,121,416","15,717,781","87.87","New York Stock Exchange Inc.","1,381,121,416.47"
"JNJ","US4781601046","2475833","JOHNSON & JOHNSON","1.4924","Equity","Health Care","$1,045,931,185","10,418,679","100.39","New York Stock Exchange Inc.","1,045,931,184.81"
"GE","US3696041033","2380498","GENERAL ELECTRIC","1.4578","Equity","Industrials","$1,021,669,659","37,713,904","27.09","New York Stock Exchange Inc.","1,021,669,659.36"
"WFC","US9497461015","2649100","WELLS FARGO","1.3902","Equity","Financials","$974,344,130","17,568,412","55.46","New York Stock Exchange Inc.","974,344,129.52"
"BRKB","US0846707026","2073390","BERKSHIRE HATHAWAY INC CLASS B","1.3886","Equity","Financials","$973,156,741","6,833,486","142.41","New York Stock Exchange Inc.","973,156,741.26"
"JPM","US46625H1005","2190385","JPMORGAN CHASE & CO","1.2678","Equity","Financials","$888,507,709","13,970,247","63.60","New York Stock Exchange Inc.","888,507,709.20"
"PG","US7427181091","2704407","PROCTER & GAMBLE","1.1529","Equity","Consumer Staples","$808,002,230","10,119,001","79.85","New York Stock Exchange Inc.","808,002,229.85"
"PFE","US7170811035","2684703","PFIZER INC","1.1236","Equity","Health Care","$787,478,560","22,965,254","34.29","New York Stock Exchange Inc.","787,478,559.66"
"CVX","US1667641005","2838555","CHEVRON CORP","1.1232","Equity","Energy","$787,155,950","7,045,162","111.73","New York Stock Exchange Inc.","787,155,950.26"
"VZ","US92343V1044","2090571","VERIZON COMMUNICATIONS INC","1.1213","Equity","Telecommunications","$785,848,687","15,570,610","50.47","New York Stock Exchange Inc.","785,848,686.70"
"T","US00206R1023","2831811","AT&T INC","0.9646","Equity","Telecommunications","$676,010,394","19,447,940","34.76","New York Stock Exchange Inc.","676,010,394.40"
"DIS","US2546871060","2270726","WALT DISNEY","0.9180","Equity","Consumer Discretionary","$643,367,456","5,858,915","109.81","New York Stock Exchange Inc.","643,367,456.15"
"MRK","US58933Y1055","2778844","MERCK & CO INC","0.9056","Equity","Health Care","$634,692,145","10,634,922","59.68","New York Stock Exchange Inc.","634,692,144.96"
"FB","US30303M1027","B7TL820","FACEBOOK CLASS A INC","0.9031","Equity","Information Technology","$632,941,391","7,866,046","80.47","NASDAQ","632,941,391.39"
"BAC","US0605051046","2295677","BANK OF AMERICA CORP","0.8988","Equity","Financials","$629,893,120","39,417,592","15.98","New York Stock Exchange Inc.","629,893,120.16"
"AMZN","US0231351067","2000019","AMAZON COM INC","0.8742","Equity","Consumer Discretionary","$612,654,313","1,426,868","429.37","NASDAQ","612,654,313.16"
"C","US1729674242","2297907","CITIGROUP INC","0.8720","Equity","Financials","$611,147,389","11,368,069","53.76","New York Stock Exchange Inc.","611,147,389.44"
"IBM","US4592001014","2005973","INTERNATIONAL BUSINESS MACHINES CO","0.8571","Equity","Information Technology","$600,710,685","3,444,442","174.40","New York Stock Exchange Inc.","600,710,684.80"
"GOOGL","US38259P5089","B020QX2","GOOGLE INC CLASS A","0.8571","Equity","Information Technology","$600,704,142","1,070,030","561.39","NASDAQ","600,704,141.70"
"KO","US1912161007","2206657","COCA-COLA","0.8507","Equity","Consumer Staples","$596,198,163","14,724,578","40.49","New York Stock Exchange Inc.","596,198,163.22"
"GOOG","US38259P7069","BKM4JZ7","GOOGLE INC CLASS C","0.8424","Equity","Information Technology","$590,368,620","1,075,196","549.08","NASDAQ","590,368,619.68"
"INTC","US4581401001","2463247","INTEL CORPORATION CORP","0.8327","Equity","Information Technology","$583,582,044","17,746,147","32.88","NASDAQ","583,582,044.09"
"GILD","US3755581036","2369174","GILEAD SCIENCES INC","0.8148","Equity","Health Care","$571,038,097","5,580,904","102.32","NASDAQ","571,038,097.28"
"CSCO","US17275R1023","2198163","CISCO SYSTEMS INC","0.7928","Equity","Information Technology","$555,663,868","19,127,844","29.05","NASDAQ","555,663,868.20"
"CMCSA","US20030N1019","2044545","COMCAST A CORP","0.7926","Equity","Consumer Discretionary","$555,488,394","9,521,570","58.34","NASDAQ","555,488,393.80"
"ORCL","US68389X1054","2661568","ORACLE CORP","0.7666","Equity","Information Technology","$537,296,357","12,011,991","44.73","New York Stock Exchange Inc.","537,296,357.43"
"HD","US4370761029","2434209","HOME DEPOT INC","0.7660","Equity","Consumer Discretionary","$536,809,436","4,937,995","108.71","New York Stock Exchange Inc.","536,809,436.45"
"PEP","US7134481081","2681511","PEPSICO INC","0.7480","Equity","Consumer Staples","$524,238,618","5,554,552","94.38","New York Stock Exchange Inc.","524,238,617.76"
"V","US92826C8394","B2PZN04","VISA INC CLASS A","0.6984","Equity","Information Technology","$489,496,278","7,269,027","67.34","New York Stock Exchange Inc.","489,496,278.18"
"PM","US7181721090","B2PKRQ3","PHILIP MORRIS INTERNATIONAL INC","0.6842","Equity","Consumer Staples","$479,542,046","5,796,471","82.73","New York Stock Exchange Inc.","479,542,045.83"
"WMT","US9311421039","2936921","WALMART STORES INC","0.6576","Equity","Consumer Staples","$460,893,373","5,917,994","77.88","New York Stock Exchange Inc.","460,893,372.72"
"AMGN","US0311621009","2023607","AMGEN INC","0.6531","Equity","Health Care","$457,748,723","2,843,513","160.98","NASDAQ","457,748,722.74"
"SLB","AN8068571086","2779201","SCHLUMBERGER NV","0.6428","Equity","Energy","$450,535,459","4,778,696","94.28","New York Stock Exchange Inc.","450,535,458.88"
"CVS","US1266501006","2577609","CVS HEALTH CORP","0.6056","Equity","Consumer Staples","$424,466,297","4,216,413","100.67","New York Stock Exchange Inc.","424,466,296.71"
"QCOM","US7475251036","2714923","QUALCOMM INC","0.6056","Equity","Information Technology","$424,451,605","6,181,034","68.67","NASDAQ","424,451,604.78"
"ACT","IE00BD1NQJ95","BD1NQJ9","ACTAVIS PLC","0.6017","Equity","Health Care","$421,729,201","1,463,169","288.23","New York Stock Exchange Inc.","421,729,200.87"
"UNH","US91324P1021","2917766","UNITEDHEALTH GROUP INC","0.5793","Equity","Health Care","$405,993,969","3,573,576","113.61","New York Stock Exchange Inc.","405,993,969.36"
"MDT","IE00BTN1Y115","BTN1Y11","MEDTRONIC PLC","0.5767","Equity","Health Care","$404,172,263","5,339,837","75.69","New York Stock Exchange Inc.","404,172,262.53"
"BMY","US1101221083","2126335","BRISTOL MYERS SQUIBB","0.5713","Equity","Health Care","$400,403,778","6,228,088","64.29","New York Stock Exchange Inc.","400,403,777.52"
"ABBV","US00287Y1091","B92SR70","ABBVIE INC","0.5593","Equity","Health Care","$391,970,581","5,972,430","65.63","New York Stock Exchange Inc.","391,970,580.90"
"MMM","US88579Y1010","2595708","3M CO","0.5327","Equity","Industrials","$373,346,395","2,378,457","156.97","New York Stock Exchange Inc.","373,346,395.29"
"MO","US02209S1033","2692632","ALTRIA GROUP INC","0.5286","Equity","Consumer Staples","$370,435,589","7,379,195","50.20","New York Stock Exchange Inc.","370,435,589.00"
"BA","US0970231058","2108601","BOEING","0.5119","Equity","Industrials","$358,746,513","2,454,646","146.15","New York Stock Exchange Inc.","358,746,512.90"
