iShares Core S&P 500 ETF
Fund Holdings as of,"Nov 07, 2023"
Inception Date,"May 15, 2000"
Shares Outstanding,"813,900,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"MSFT","MICROSOFT CORP","Information Technology","Equity","26,026,665,747.42","7.28","26,026,665,747.42","72,190,014.00","360.53","United States","NASDAQ","USD","1.00","USD","-"
"AAPL","APPLE INC","Information Technology","Equity","25,962,577,623.18","7.27","25,962,577,623.18","142,792,749.00","181.82","United States","NASDAQ","USD","1.00","USD","-"
"AMZN","AMAZON COM INC","Consumer Discretionary","Equity","12,589,951,265.46","3.52","12,589,951,265.46","88,220,526.00","142.71","United States","NASDAQ","USD","1.00","USD","-"
"NVDA","NVIDIA CORP","Information Technology","Equity","11,028,851,201.55","3.09","11,028,851,201.55","23,999,241.00","459.55","United States","NASDAQ","USD","1.00","USD","-"
"GOOGL","ALPHABET INC CLASS A","Communication","Equity","7,550,018,945.98","2.11","7,550,018,945.98","57,646,934.00","130.97","United States","NASDAQ","USD","1.00","USD","-"
"META","META PLATFORMS INC CLASS A","Communication","Equity","6,885,039,689.24","1.93","6,885,039,689.24","21,595,382.00","318.82","United States","NASDAQ","USD","1.00","USD","-"
"GOOG","ALPHABET INC CLASS C","Communication","Equity","6,492,488,208.00","1.82","6,492,488,208.00","49,036,920.00","132.40","United States","NASDAQ","USD","1.00","USD","-"
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Financials","Equity","6,133,965,892.23","1.72","6,133,965,892.23","17,719,519.00","346.17","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TSLA","TESLA INC","Consumer Discretionary","Equity","5,961,172,495.32","1.67","5,961,172,495.32","26,830,374.00","222.18","United States","NASDAQ","USD","1.00","USD","-"
"UNH","UNITEDHEALTH GROUP INC","Health Care","Equity","4,840,671,686.25","1.35","4,840,671,686.25","9,000,375.00","537.83","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LLY","ELI LILLY","Health Care","Equity","4,648,224,643.85","1.30","4,648,224,643.85","7,747,945.00","599.93","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"XOM","EXXON MOBIL CORP","Energy","Equity","4,096,080,135.78","1.15","4,096,080,135.78","39,306,018.00","104.21","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"JPM","JPMORGAN CHASE & CO","Financials","Equity","4,066,317,771.57","1.14","4,066,317,771.57","28,236,357.00","144.01","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"V","VISA INC CLASS A","Financials","Equity","3,821,343,120.75","1.07","3,821,343,120.75","15,611,975.00","244.77","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
